[0.00s -> 2.30s]  three, two, four.
[4886.40s -> 4892.56s]  wind on, obviously. And really hope moving forward that we can do what is right for this town.
[4892.56s -> 4898.00s]  Because also as a business owner, I watch everything struggle. And it's hard to watch everyone
[4898.00s -> 4904.48s]  moving into this town that the low income housing, all this stuff affects us. And watching
[4904.48s -> 4909.68s]  the school system suffer like this is very hard. So, I hope we can make it work. I hope we
[4909.68s -> 4914.00s]  push the vote off. And I hope that everything works out for our children. Thank you.
[4914.32s -> 4915.92s]  Thank you.
[4919.92s -> 4927.04s]  Okay. Any other details of the orange? Anybody else would like to make any public comments?
[4933.36s -> 4939.20s]  Okay. We have one more here. We have, it's a phone number. I'm going to unmute you.
[4940.16s -> 4949.36s]  9-1-4-5. It's Allison Soel. Hi. How are you? How are you? Good. 88 Taylor Road.
[4953.60s -> 4961.44s]  And I just want to reiterate a lot of what's already been said tonight. And I get it. I'm talking
[4961.44s -> 4966.80s]  to you tonight as someone who's not just a parent, but also unemployed as a result of all this.
[4967.76s -> 4972.24s]  But my commitment to my kids and the other kids in the community doesn't change just because of
[4972.24s -> 4977.36s]  that. And so, I just wanted to say that I really love to see this budget left as is.
[4978.32s -> 4982.32s]  So we can work toward meeting all the challenges that have already been discussed tonight for our
[4982.32s -> 4986.56s]  growing district. Thank you. And thank you. That's the opportunity for us to all speak tonight.
[4986.64s -> 4993.44s]  All right. So we have, um, thanks, Allison.
[4995.44s -> 4997.68s]  Hey, we have Sergio's iPhone.
[5001.28s -> 5010.16s]  Oh, yes. Hi. Yes. Hi. How are you? My name is Hugo Cruz. I live at 35 Spring Hill Lane.
[5010.16s -> 5022.48s]  In it. Will you spell your last night? Sure. It's Hugo, H-U-G-O, Cruz, C-R-U-G.
[5022.48s -> 5024.08s]  Okay. Thank you.
[5028.08s -> 5033.68s]  Good evening, everyone. I hope everyone's saying safe. Just again, just to agree,
[5034.64s -> 5041.68s]  I would like to keep the school budget as the same. And, you know, if we can balance it that way
[5041.68s -> 5046.24s]  that will be magnificent. Just to keep it short. Thank you very much and have a good night.
[5047.76s -> 5048.40s]  Thank you.
[5051.84s -> 5055.76s]  Okay. We have, um, Rob Jackson.
[5055.76s -> 5062.48s]  Hello, this is Rob Jackson. 26 deepwood drive.
[5067.20s -> 5070.64s]  I'd like to support the school budget. I think it's good the way it is.
[5072.56s -> 5078.00s]  I agree that I think this should be sent to a vote. We have to hit the pause button and allow
[5078.00s -> 5083.84s]  the town's people to decide on this budget. And although I know there's time constraints to get
[5083.84s -> 5091.12s]  the budget passed, I think the town's people need to decide this budget. I don't know if there's
[5091.12s -> 5096.80s]  a way to hear from the Board of Finance tonight at all on some of their opinions on how we can
[5096.80s -> 5104.24s]  reduce the budget, whether it's to put off paving for a year, put off things like expansion of
[5104.24s -> 5110.56s]  the dog park, additional police, or what areas they think we might be able to trim the budget.
[5110.56s -> 5116.96s]  And I know it's needed areas, but I just think that there's probably other areas where
[5116.96s -> 5121.76s]  we might be able to reduce this sum. And I know the governor's pushing for us to do this, but
[5122.48s -> 5126.24s]  I tend not to listen to him very much. Thank you.
[5127.36s -> 5131.92s]  And Rob, to be responsive to your question regarding whether or not there will be any suggestions
[5131.92s -> 5137.52s]  for cuts, depending on how long this goes, I do think we will be having some of those
[5137.52s -> 5143.68s]  discussions in a little while. We'll follow the agenda. We've got a couple of administrative
[5143.68s -> 5156.40s]  things to do, but then we'll get to that point. Okay, I have Hunt D with hand raised, but for some
[5156.40s -> 5164.96s]  reason, they're above Rob Jackson, so I don't know if I accidentally skipped you. Hunt D,
[5165.92s -> 5170.80s]  did you want to make a comment? Yes, please. You did skip me. That's okay now.
[5170.80s -> 5177.20s]  No, I'm so sorry. You guys are my neither. So hey, you go. I'm going to be able to see it.
[5177.20s -> 5182.08s]  Six weeks. So my name is David Hunt, 32 Spring Hill Lane.
[5184.40s -> 5189.36s]  Hey, I've been a lifelong resident. I'm a teacher here in town. I have two kids in the system.
[5189.36s -> 5199.04s]  I would hate to see the progress we've made even since I was a child go down. I just spent my
[5199.04s -> 5205.04s]  whole life here trying to make and help this place be the best it can be. So I'm voting in favor of
[5205.04s -> 5214.48s]  both budgets. I think it's important that we support the people in town here. And that's my statement.
[5215.44s -> 5224.16s]  Okay. Thank you so much. All right. Is there anybody else that would like to make a comment?
[5229.60s -> 5232.40s]  All right, Bob, I don't have anybody else with their hand raised.
[5233.44s -> 5239.20s]  You know, we're not about an hour and 30 minutes. If we were doing this in person right about now,
[5239.20s -> 5246.00s]  we take a five-minute break. How do folks? I've got a screen in front of me with a bunch of
[5246.00s -> 5254.24s]  faces to the extent people are okay with a five-minute break. I'm good either way.
[5255.28s -> 5261.36s]  Looks like most people are nodding. Let's take a five-minute break. How are you reading here?
[5261.36s -> 5268.08s]  Oh, oh, oh, Bob Legnard, are you wanting to raise your hand? Yeah.
[5268.96s -> 5275.92s]  Okay. Well, I tell you what, I hear you. So why don't you go ahead and make your comments, sir?
[5277.52s -> 5285.20s]  You can hear me. I'm in favor of moving this forward and getting a budget in place. So when we
[5285.20s -> 5293.20s]  come out of this... Fuck you. Well, we're in right now that we could move forward with the town
[5293.20s -> 5298.64s]  the way we need to move forward. If we put it off, we put it off. It's like you're gonna can down the road.
[5300.32s -> 5304.88s]  They've identified things that are a problem. They've identified things that need to be done. We know
[5304.88s -> 5311.28s]  what we need to run schools. We know what we need to pay roads. And I think it'd be irresponsible
[5311.28s -> 5317.36s]  not to have a budget in place when we come out of this thing and go forward. Thank you.
[5318.56s -> 5324.80s]  Okay. And Mr. Legnard, what's your address? 11 Evergreen Drive. Bethel Connecticut. Thank you, sir.
[5326.08s -> 5333.60s]  I spent a lot of time here today. Yeah. Okay. With that said, is there anybody else that wants to
[5333.60s -> 5345.68s]  make a comment? Okay. All right. My computer's got us at 833. Let's see if we can be back here at 838.
[5347.20s -> 5354.56s]  Five minute recess. Okay. Thank you. I don't have music and I'm not gonna sing for you.
[5354.56s -> 5364.64s]  Yeah. So, D. Yes. Lead meeting. Does that mean? Is that what I hit? Or do I just walk away from my screen?
[5367.84s -> 5373.60s]  Why don't you just walk away from your screen? This is, this is unprecedented. I don't know if you can stop the video.
[5374.24s -> 5378.16s]  Don't leave the meeting. There's you have to go to get back in. Then you all have to log back on.
[5378.72s -> 5383.92s]  Oh, I need just hit your video off. Just on the bottom. Just like you do your mute your mic.
[5383.92s -> 5387.52s]  Just turn off your video too. That dude, I'll take your camera with you.
[5389.92s -> 5396.32s]  There we go. That's okay. Oh, but I can still hear you. So mute yourself.
[5396.32s -> 5399.12s]  No, mute me too. Yeah. Don't embarrass yourself.
[5473.92s -> 5475.92s]  You
[5503.92s -> 5506.72s]  You
[5533.92s -> 5535.92s]  You
[5563.92s -> 5566.72s]  You
[5593.92s -> 5595.92s]  You
[5597.92s -> 5599.92s]  You
[5599.92s -> 5601.92s]  You
[5601.92s -> 5603.92s]  You
[5603.92s -> 5605.92s]  You
[5605.92s -> 5607.92s]  You
[5607.92s -> 5609.92s]  You
[5609.92s -> 5611.92s]  You
[5611.92s -> 5613.92s]  You
[5613.92s -> 5615.92s]  You
[5615.92s -> 5617.92s]  You
[5617.92s -> 5619.92s]  You
[5619.92s -> 5621.92s]  You
[5621.92s -> 5623.92s]  If we can, okay.
[5629.92s -> 5631.92s]  You
[5631.92s -> 5633.92s]  You
[5633.92s -> 5635.92s]  You
[5635.92s -> 5637.92s]  You
[5637.92s -> 5639.92s]  You
[5639.92s -> 5641.92s]  You
[5641.92s -> 5643.92s]  You
[5643.92s -> 5647.92s]  You
[5651.92s -> 5653.92s]  And I've got
[5653.92s -> 5654.92s]  38. I just give people another minute or two.
[5654.92s -> 5657.92s]  Nope. I mean if you if you want to go, let's go.
[5657.92s -> 5666.56s]  I do, I would like to say, if we are able to see any background noise, where it might
[5666.56s -> 5673.76s]  be coming from, so there are some of you that I am muting, and I'm muting you just because
[5673.76s -> 5680.32s]  we can hear you. So if you are muted, please stay that way. Don't unmute yourself.
[5680.32s -> 5691.60s]  I see Brian, I see Robert. You're just doing a check of the board of finance.
[5695.60s -> 5706.16s]  I see Dee, Cynthia, and don't be Nick or Wendy. Who farted? He's mad.
[5710.88s -> 5718.48s]  You farted. Okay, let's see. Cut that guy out. Did you fart?
[5721.36s -> 5722.56s]  Did you fart it, didn't you?
[5732.72s -> 5735.28s]  We have adults here, please. Thank you.
[5740.32s -> 5748.56s]  Someone farted.
[5752.16s -> 5753.36s]  You manage that, Dee, vote.
[5763.76s -> 5764.88s]  I see you. Let him know.
[5771.28s -> 5775.52s]  Okay, Wendy, are you back?
[5778.96s -> 5779.68s]  Wendy is.
[5781.68s -> 5783.04s]  Can you go in my right?
[5784.80s -> 5789.12s]  Yeah, we hear you. Deon, you've got all the board of finance members unmuted.
[5789.12s -> 5793.76s]  No, I am trying my best right now. Give me just one second.
[5794.56s -> 5795.84s]  Looks like Nick is in now.
[5800.56s -> 5804.16s]  Let me see who am I missing?
[5804.80s -> 5806.24s]  Cynthia is still muted.
[5806.24s -> 5808.56s]  Okay, can we just one second?
[5808.56s -> 5809.68s]  Yes, still muted.
[5813.44s -> 5815.04s]  Hey, I'm working on it guys.
[5816.24s -> 5816.80s]  Thank you.
[5818.48s -> 5821.68s]  Great job for the first time through. You're doing a great job for this.
[5824.24s -> 5826.00s]  This is a little crazy, but it's all good.
[5830.56s -> 5836.88s]  Is that, and then let's unmute.
[5837.68s -> 5841.52s]  Okay, here, do I have everybody now?
[5843.52s -> 5844.72s]  Looks like we got everyone.
[5844.72s -> 5849.12s]  Okay, going down the agenda, the next item is corresponding.
[5850.08s -> 5851.60s]  You know what, I do, I'm sorry.
[5851.60s -> 5852.80s]  I don't mean to interrupt you.
[5852.80s -> 5853.60s]  I apologize.
[5853.60s -> 5857.44s]  I need to unmute Bob Kelslowski.
[5857.44s -> 5860.80s]  There he is.
[5862.64s -> 5863.28s]  There we go.
[5863.28s -> 5863.84s]  Hey, Bob.
[5866.48s -> 5868.00s]  Okay, I think we're good now.
[5869.12s -> 5870.56s]  Okay, sorry about that, Bob.
[5870.56s -> 5873.60s]  Oh, it's actually, the agenda item is corresponding.
[5873.60s -> 5876.88s]  Do we have any additional respondents?
[5878.64s -> 5879.60s]  No, no.
[5880.48s -> 5882.24s]  Moving on to the next agenda item.
[5882.24s -> 5886.72s]  Consideration of approval of the regular meeting minutes from March 10.
[5887.76s -> 5891.52s]  Those were distributed to give folks just a minute to go through those.
[5901.52s -> 5906.24s]  And it's an emotion to accept the minutes as submitted.
[5906.88s -> 5907.28s]  Second.
[5910.64s -> 5911.28s]  Discussion.
[5913.36s -> 5915.44s]  All those in favor, please signify by saying aye.
[5915.92s -> 5916.40s]  Aye.
[5916.40s -> 5916.72s]  Aye.
[5918.72s -> 5921.68s]  Okay, um, comptroller's report.
[5923.04s -> 5927.12s]  Again, I think everybody had the comptroller's report or the comptroller's report was
[5927.12s -> 5929.52s]  attached to the meeting invite.
[5929.52s -> 5932.80s]  So Bob will turn it over to you for the comptroller's report.
[5932.80s -> 5934.48s]  Okay, just just real quickly.
[5935.12s -> 5937.12s]  So we can move on to the rest of the agenda.
[5938.48s -> 5941.52s]  Looking at the report, there's a few items I wanted to bring up.
[5942.32s -> 5949.04s]  Account 405, uh, paramedic, which is in the mental service department.
[5949.04s -> 5952.40s]  The paramedic, you'll see a large number in that.
[5952.40s -> 5956.96s]  The dollars haven't been transferred over to the paramedic account at this point.
[5956.96s -> 5958.72s]  It will be before the end of the year.
[5958.72s -> 5960.32s]  You always do that to the end of the year.
[5961.12s -> 5966.40s]  In account, 290 emergency management, just like the last one, I mentioned it.
[5966.40s -> 5969.60s]  Of course, the tower is in there, so the office expense is
[5970.32s -> 5978.64s]  overstated or we overspent on that, but that's a tower on Spring Hill and it's an agreement we had
[5982.08s -> 5985.04s]  worked up after the budget was prepared last year.
[5985.04s -> 5988.24s]  So we're going to overrun that particular item.
[5989.12s -> 5995.20s]  In account, 200 social services, you'll see that the 20,000 so far has not been distributed to
[5996.00s -> 5998.00s]  the different organizations.
[5998.00s -> 6000.32s]  That too at the end of the year is normally done.
[6000.32s -> 6004.80s]  So within the next month or so, we'll start to sit down with some
[6006.40s -> 6011.68s]  social service director and decide how the 20,000 will be distributed.
[6013.52s -> 6017.04s]  And then the probate court, just like I mentioned the last couple of months, we're part of
[6018.00s -> 6027.20s]  the town's Bethel, Newtown, Reading and Richery, and so you'll see not over payment, but
[6028.40s -> 6034.00s]  additional expenses in there, but we built out at the end of the year and we're in line with
[6034.64s -> 6037.04s]  the numbers that we should have by the end of the year.
[6037.52s -> 6041.20s]  All that in that, all the other accounts pretty much seem to be in order.
[6044.00s -> 6044.48s]  Thank you.
[6045.44s -> 6047.52s]  Any any questions for Bob?
[6048.32s -> 6049.28s]  I have a question.
[6053.20s -> 6054.32s]  You're good. Keep talking.
[6055.28s -> 6058.48s]  I just want to yeah, I would just if you if you don't want to raise your hand,
[6058.48s -> 6062.16s]  if you will at least just say, you know, Wendy has a question.
[6062.16s -> 6065.68s]  Just state your name just so that I know who's talking.
[6067.52s -> 6072.16s]  Okay, okay, so I can speak now.
[6072.64s -> 6073.04s]  Yes.
[6075.04s -> 6077.04s]  I have one to ask me that before.
[6077.04s -> 6077.44s]  Wow.
[6079.44s -> 6083.04s]  So permission before that's funny.
[6084.08s -> 6093.68s]  So Bob, do you see any, do you have an approximate idea, any kind of feeling for where we're going
[6093.68s -> 6095.12s]  to end the year?
[6096.96s -> 6101.60s]  I know it's a little early, yeah it's early, I don't think we're going to be far
[6101.60s -> 6107.28s]  off from what we had in the last couple of years. But since you brought that up, I do have
[6107.28s -> 6111.92s]  and it relates to what we're going to talk about later on. Savings and additional costs of
[6111.92s -> 6118.24s]  revenue loss because of COVID-19, you know, some of the departments and asking the department
[6118.24s -> 6125.44s]  heads for their input. In the highway department, we're looking at probably at numbers like
[6125.44s -> 6135.04s]  $83,654 in savings, Park and Rec, $63,700, the senior set and $6,000. That totals up to about
[6135.04s -> 6144.40s]  $153,000, $153,400. But if you look at the other side, the loss revenue or the additional
[6144.40s -> 6151.36s]  costs in highway, which also includes the transfer station, we're not receiving any revenue
[6151.36s -> 6157.60s]  for the garbage that we're collecting at this point. We just paying to, for the residents that drop
[6157.60s -> 6162.40s]  off their garbage, we're paying to dispose of it. And that cost is about $3,000 a month, so that's
[6162.40s -> 6171.68s]  about $12,000. In Park and Rec, our part of the $63,000 savings was the before and after the
[6171.68s -> 6180.08s]  school program. We're going to lose revenue to the extent of about $82,000. So in that department
[6180.08s -> 6184.32s]  alone, because they have to buy, they're at a focal point right now for all the supplies that we're
[6184.32s -> 6191.04s]  buying for the COVID-19. So far, I've bought about $3,600,000 in support of the next
[6192.32s -> 6198.32s]  of lights and that sort of item. The senior Senate, because they're not running the programs and
[6198.32s -> 6206.56s]  saving $6,000. But what they're losing in revenue is about $12,850. And then in the town clerks
[6206.56s -> 6211.60s]  department, because we're going to have increased costs for the primary ballots, they all have to be
[6211.60s -> 6219.36s]  mailed out to the registered voters, there's going to be about a $300 course there. And emergency
[6219.36s -> 6225.28s]  management, right now, someone mentioned before, I think it was Matt, mentioned about the laptops
[6225.28s -> 6232.96s]  that we have to purchase. They were $6,300. The PPE was $3,700. The Zoom that we're on right now,
[6232.96s -> 6239.68s]  $132. That's something we never had before. So that totals up to $10,175 for a grant total
[6239.68s -> 6246.00s]  of $127,500. And when you compare that with the savings from the other departments I spoke about
[6246.00s -> 6254.24s]  before, the next savings at this point is about $26,000, $25,000, $854. So maybe that answers your question.
[6255.20s -> 6266.72s]  Yeah, I'm done. Can I ask Bob a question? Bob, some of those COVID-19 costs, though,
[6266.72s -> 6271.12s]  are going to be reimbursed most likely through the federal government, correct?
[6271.12s -> 6276.64s]  Yeah, they probably will. I think right now to look at either 70 or 80% reimbursement,
[6276.64s -> 6282.72s]  but that's not going to come in right away. It's probably going to be a good year based on our
[6282.72s -> 6288.48s]  prior experience with FEMA and the federal government. And I mean, you're going to get some
[6288.48s -> 6295.44s]  reimbursement. And kind of says one question. They won't reimburse us for the most revenue on
[6295.44s -> 6301.52s]  like the parking wreck programs, you know, substantial. When I looked at utilities,
[6303.12s -> 6312.08s]  it looks like we spend about on average $189,000 a month on utilities. And when I kind of looked
[6312.08s -> 6318.00s]  over it, it looked like we'd have probably a little over $100,000 in savings in the utility
[6318.00s -> 6324.40s]  account. Do you agree with that? And that's probably an ample clock. Some of it may have to get
[6324.40s -> 6331.12s]  allocator over to the utility department of water and sewer. We do, we do those adjustments
[6331.12s -> 6338.40s]  so as the end of the year, but we'll probably have a surplus in the utility department. Maybe
[6338.88s -> 6341.12s]  but we'll have something. All right. Thank you.
[6342.80s -> 6349.52s]  Hey, Bob. Yep. I just want to make a comment to Brian's question. The FEMA reimbursement rate is
[6349.52s -> 6356.64s]  75% but we have yet to be told what exactly is covered. And those costs typically don't come
[6356.64s -> 6361.20s]  in for a body on sometimes up to a year. So just wanted to make you aware of that.
[6361.20s -> 6371.68s]  Bob, I'm curious as to how the fourth quarter, I know it's early, right? The fourth quarter revenue
[6372.80s -> 6378.56s]  collections have been tracking. Do you have any insight into what that looks like?
[6379.60s -> 6384.08s]  I know talking to Anne, the tax collector, the money was coming in. They're pretty busy
[6384.08s -> 6389.68s]  with the drop box. And in fact, so much so that they're using people's bank, which we normally
[6389.76s -> 6396.72s]  use in the first quarter for the drop box. So she's sending down deposits for people's to process
[6396.72s -> 6405.76s]  for us. 54% of our money comes in on escrowed accounts. We've already received that for the fourth
[6405.76s -> 6412.88s]  quarter. 46% is non escrowed accounts. And that money seems to be coming in at this point. We
[6412.88s -> 6418.72s]  won't know for another week or two, which is almost the end of the day, April. How much
[6419.68s -> 6426.00s]  wind up collecting of that 46%? But, you know, her feeling is it's going to be, it's going to be
[6426.00s -> 6430.40s]  a substantial. I don't think we're going to have a shortfall, a major shortfall.
[6432.24s -> 6438.32s]  Trending more or less as we would normally see kind of pre I think so. I think so at this point.
[6442.64s -> 6444.88s]  Any more questions for Bob?
[6448.72s -> 6461.60s]  Oh, I'm sorry. Do we have any, because it was such a mild winter? Are there any,
[6462.56s -> 6464.88s]  is there any money left there, salt, sand?
[6466.40s -> 6471.44s]  There was some windy, but what he was going to do with that, and that's included in my number here,
[6472.16s -> 6478.56s]  what he was going to do is divert that within the same department to the catch base.
[6478.88s -> 6484.00s]  We have to do it because of the state requirement to clean the basins every two or three years,
[6484.00s -> 6490.48s]  all of them. So that was going to be done, but because you need two people in a truck and they're
[6490.48s -> 6498.96s]  only driving one at a time, that's put off until this COVID-19 virus is basically gone. You know,
[6498.96s -> 6504.72s]  so we're going to save 79,000 in that, which is represents the amount of money we saved on a
[6504.72s -> 6509.84s]  sand in the soil, but we're going to have to use that again in the first quarter next year to clean
[6509.84s -> 6519.04s]  those basins. They have to get cleaned. Okay. Cynthia has a question. Thanks. Yep. Okay.
[6520.64s -> 6525.68s]  So I saw the memo that went out asking the various departments to
[6526.64s -> 6534.08s]  report on any cost savings they could cite. And you just said a few, but the ones that I saw in
[6534.08s -> 6540.00s]  your memo didn't seem to have any. And I was just wondering if what we've just talked about is all
[6540.00s -> 6546.56s]  that there was in terms of savings. Yeah. I mean, these were all the departments that got back to me.
[6547.28s -> 6554.16s]  The final number probably around 530 just afternoon, which I incorporated into the schedule,
[6554.16s -> 6561.52s]  but yeah, it's all the departments that responded. Right. But even so, you just pointed out
[6561.52s -> 6569.76s]  the highway department and the utilities, which are, you know, they weren't included as a response.
[6569.76s -> 6575.92s]  And I'm just saying, are there anywhere that you've computed? Not from the departments,
[6575.92s -> 6579.68s]  but just from you knowing, are there any savings that you think we're going to come in
[6579.92s -> 6588.24s]  under as far as costs? No. Not at this point. No. I didn't come up with anything. Okay. Thank you.
[6592.56s -> 6597.60s]  Any other questions for Bob and this segment of the agenda?
[6599.36s -> 6602.24s]  Bob, are we going to come back to savings when we talk later?
[6602.72s -> 6608.48s]  We've got it here. Yeah. All right. Get it mild.
[6610.00s -> 6615.84s]  My only question would be, so are we expecting really not to have any money left over at the end
[6615.84s -> 6622.24s]  of the year? That would be transferred into the the general fund? The fund balance. No savings.
[6622.24s -> 6630.16s]  I think, you know, like we had last year, three, four hundred thousand, we may not have that type of
[6630.16s -> 6636.72s]  a number at this point, but we won't have some money going into the fund balance. Okay. Thank you.
[6639.60s -> 6644.16s]  Bob, I take it. I'm sorry, Nick. Are you going to say something? No, I'm going to
[6646.80s -> 6652.56s]  try to pay attention to the functionality of Zoom. It kind of gives the box of squares. It looks
[6652.56s -> 6657.84s]  like someone's trying to talk. So sorry, Nick, I thought you were trying to talk. Bob, so I guess
[6657.84s -> 6666.32s]  then what you're saying is the 300,000 or so that will be going into the general fund will be
[6666.32s -> 6675.44s]  primarily not from savings, but rather from our over our budgeting rate. Yeah. I think you
[6675.44s -> 6687.12s]  can say that like we had last year. I have a question and follow up on that, Bob.
[6688.64s -> 6694.16s]  Historically, where were we seeing that bulk of that might come from? You talked about
[6695.12s -> 6702.96s]  $26,000 worth of savings. I guess that was largely parks and rec. Where do we see the
[6703.60s -> 6709.20s]  additional funds coming from? Well, it could be from employee benefits because we have
[6710.16s -> 6719.36s]  contracted services. The unions have agreed to move to the partnership plan. So there are some
[6720.40s -> 6726.32s]  savings when we move to different medical plans. That would be the bulk of it really when it comes
[6726.32s -> 6734.64s]  in. You may have some money coming from utilities like Brian, I mentioned before. So there'll be
[6734.64s -> 6745.92s]  a couple of different areas. Okay. Okay, I guess kind of since we've recently adopted the practice of
[6747.84s -> 6753.84s]  accepting as submitted the comptroller before I guess. And in motion to accept the
[6753.84s -> 6761.92s]  council before as submitted. So moved. All second. Any discussion? All those in favor,
[6761.92s -> 6769.76s]  please signify by saying aye. Okay. So just so I can make sure that motion was made by Bob
[6769.76s -> 6775.92s]  on May 3rd. It was seconded by Robert Palmer. I think it was Robert Palmer made the motion.
[6776.00s -> 6780.72s]  And when you seconded it. When do you second? Yeah. Okay. I'm glad I asked.
[6784.16s -> 6790.32s]  All right. Now we come to the last agenda item which is consideration of the budget for
[6790.32s -> 6798.80s]  purposes of the public hearing. My guess is that the vast majority, the 115 participants on the
[6798.80s -> 6805.84s]  call are most interested in this part of the evening. What might be helpful is to give a brief
[6805.92s -> 6814.64s]  kind of summary of how we got here where we are and where we go from here to kind of put this
[6814.64s -> 6824.24s]  a little bit in context. Remember that we started this budget process with your intent that the
[6824.24s -> 6829.92s]  department heads who begin presenting their request to joint meetings of the Board of Selectman and
[6829.92s -> 6836.80s]  the Board of Finance. The boards and the department heads met for several nights over the next
[6836.80s -> 6845.12s]  month. Then on March 10, the Board of Finance voted 61 to send a proposal to the public
[6845.12s -> 6851.92s]  hearing for the purpose of getting public input before final deliberation on a budget.
[6852.72s -> 6859.76s]  That budget suggested an increase in spending of 3.495 percent
[6860.96s -> 6868.40s]  increased in the mill rate of 2.39 percent. That's the budget I believe most folks were
[6868.40s -> 6877.04s]  describing as the current budget offering. That again that budget was teed up to go to public
[6877.04s -> 6885.68s]  hearing on March 23rd and then coronavirus and COVID-19 change. Everything was kind of
[6887.76s -> 6894.96s]  stopped and changes began. We first had a postponement in the dates. Then we had some social distancing
[6894.96s -> 6902.40s]  requirements which made town meeting formal government unworkable. Government of a month executed
[6902.88s -> 6909.04s]  of orders seven capital I and that's the one that provides the Board of Selectman the power to
[6909.04s -> 6919.52s]  authorize the Board of Finance to determine without any annual without a referendum. On Tuesday,
[6919.52s -> 6926.72s]  April 7, pursuant to that executive order seven capital I the Board of Selectman passed the
[6926.72s -> 6935.28s]  resolution authorizing the Board of Finance to determine the fiscal year 2020 2021 budget year
[6936.00s -> 6940.96s]  consistent with another executive order that said we have to have a virtual public hearing.
[6942.16s -> 6947.68s]  Now the Board of Selectman has directed the Board of Finance to set this budget
[6948.56s -> 6956.96s]  by May 15. So that's where we are. That's what we are how we've come to this point in the process.
[6958.64s -> 6967.04s]  From from here where we go well from here the Board of Finance will again think about what
[6967.04s -> 6974.96s]  budget proposal will be sent to now a virtual public hearing. Dates are somewhat dynamic but at
[6974.96s -> 6981.04s]  this point we're thinking that a virtual public hearing will take place on Tuesday, May 12.
[6981.76s -> 6989.44s]  And then on Friday, May 15, the last day available to us we would have a Board of Finance special
[6989.44s -> 7000.40s]  meeting to determine the budget. That's where we go from here. I guess how I would start tonight's
[7000.40s -> 7008.48s]  discussion among the Board of Finance is ask the Board of Finance individually whether anybody
[7008.48s -> 7017.60s]  believes based on all the input that we got prior to tonight and whether or not that budget that
[7017.60s -> 7026.40s]  we adopted and then reflecting the 3.495 percent increase in spending the 2.39 percent increase in
[7026.40s -> 7032.96s]  the middle rate whether that budget is something we want to stay with for purposes of going through
[7032.96s -> 7042.96s]  the virtual public hearing on May 12. So I'm just going to pick people out based on where they are
[7042.96s -> 7049.92s]  looking in the squares that I have and I would ask you to answer that question with a kind of a
[7049.92s -> 7058.56s]  simple no yes. And to the extent that you feel you need to add more, I'd ask you to be brief
[7058.56s -> 7066.00s]  in the asking or in the adding of more. So on my screen Wendy you're in the number one position.
[7066.64s -> 7072.88s]  How would you answer the question you feel at that budget that we adopted March 10 seemingly
[7072.88s -> 7079.36s]  a lifetime ago. There's something that we'd want to bring to the public hearing on May 12.
[7080.40s -> 7088.72s]  In my heart I would say yes but in the reality I'm going to have to say no I don't think I think
[7088.72s -> 7096.80s]  that we need to take another look at it. I and you're in the number two position on my screen.
[7097.76s -> 7104.72s]  I'm going to say no we should not bring that budget forward. Robert Palmer.
[7104.72s -> 7114.00s]  I think that where we were when we developed that budget the thought process that we into it I
[7114.00s -> 7123.52s]  fully supported it at the time but with the economic situation as it is today and where we think
[7123.52s -> 7130.88s]  it's going to be for the next upcoming couple quarters it's not going to be a rapid recovery in
[7130.88s -> 7137.60s]  my mind. It's going to be a slow recovery and I think we'd be rather toned out to say we should go
[7137.60s -> 7143.36s]  ahead without any modifications to the current budget. I think that we have a lot of hurting
[7144.72s -> 7152.96s]  residents in Bethel and I think that they're looking to us to take a leadership stand and making
[7153.04s -> 7154.64s]  some additional cuts to where we are.
[7160.72s -> 7166.32s]  Robert said it perfectly our neighbors are struggling and I would definitely want to look at it
[7166.32s -> 7177.04s]  again. Thank you. I think that the the budget that was proposed best reflects what our town
[7177.92s -> 7183.60s]  needs and still needs. Those needs haven't changed and I'd like us to keep that in mind as we
[7183.60s -> 7189.76s]  continue to talk about the budget but I do think given the uncertainty and the anxiety that's
[7189.76s -> 7195.36s]  going on you know for our friends and neighbors and ourselves I think we owe it to ourselves to
[7195.36s -> 7201.76s]  take a look at the budget again and see if there are places that we can take some things out that
[7201.76s -> 7205.52s]  will not drastically reduce our quality of life in Bethel.
[7211.20s -> 7218.32s]  Yeah I think that just as our lives were different before COVID-19 our lives were different
[7218.32s -> 7224.96s]  when we you know cooked up that budget and I think that we it would be irresponsible not to
[7224.96s -> 7233.60s]  look at it and to to realize and I don't know how far out people are thinking but I've
[7233.60s -> 7240.00s]  the opinion that this is not going to that this is a whole cultural shift in our in our country and
[7240.00s -> 7245.92s]  our world this is not going to be like holding on to everything that we know so we have to get like
[7245.92s -> 7251.76s]  into a space where we're not you know using we have to use a different paradigm when we're doing
[7251.76s -> 7262.56s]  this I feel strongly about that so I would have to say that I agree with all that remembering that
[7262.56s -> 7270.00s]  what we're trying to wrestle with here is the year the fiscal year 21 it's the year that doesn't
[7270.00s -> 7280.88s]  begin until July 1st of 2020 and runs through June 30th of 2021 so it's even more there is even more
[7280.88s -> 7286.00s]  uncertainty to that we've got two and a half months before the year begins and then the 12
[7286.00s -> 7292.40s]  ones that follows but but that said you know based on the fact that I think all of us have heard from
[7292.40s -> 7304.24s]  folks in on the folks on the call today and then prior it does seem to me that we need to go back
