[0.00s -> 2.00s]  wau, m'hoj.
[5061.36s -> 5065.36s]  And when you double that, you get 0.888.
[5065.36s -> 5068.36s]  So it's just rounding up and down.
[5068.36s -> 5069.36s]  Thank you, Mr. Chair.
[5069.36s -> 5070.36s]  Yeah, so knowledgeable.
[5070.36s -> 5072.36s]  Oh, clear.
[5072.36s -> 5073.36s]  Yeah, thanks.
[5073.36s -> 5081.36s]  The question I had is about LGFA saying one of the principles is that they'll demonstrate social environment,
[5081.36s -> 5083.36s]  environmental responsibility.
[5083.36s -> 5092.36s]  And one question that I've been asking in past is, will LGFA consider introducing something like green financing or environmental bonds?
[5092.36s -> 5099.36s]  You know, like the productivity commission did a report to a low emissions economy, you know, a couple of years ago.
[5099.36s -> 5109.36s]  The highlight of it, actually, there's a bit of a gap in New Zealand with this kind of financing where councils could borrow for a project that would be, you know,
[5109.36s -> 5113.36s]  reducing emissions or for environmental outcomes.
[5113.36s -> 5118.36s]  And usually it's sort of a slight margin lease or something, just to say it's a good thing to be doing.
[5118.36s -> 5121.36s]  And we want to encourage councils.
[5121.36s -> 5123.36s]  Do you think LGFA would do that?
[5123.36s -> 5126.36s]  Or are you talking to government about that?
[5126.36s -> 5128.36s]  Thank you for that question.
[5128.36s -> 5137.36s]  It is the whole environmental issues have been pushed a little bit to the back of the environment because of everything that's going on.
[5137.36s -> 5148.36s]  But LGFA has done a significant amount of work on that and we are intending to offer green financing to councils.
[5148.36s -> 5154.36s]  So remembering that it's not LGFA that is doing things with the money.
[5154.36s -> 5158.36s]  We're just on lending us the resources in the middle.
[5158.36s -> 5164.36s]  We've actually got all the documents up and ready to go.
[5164.36s -> 5170.36s]  The issue is we're going to need councils to identify green projects.
[5170.36s -> 5172.36s]  And also there's three categories.
[5172.36s -> 5175.36s]  So there's green, social and sustainable.
[5175.36s -> 5179.36s]  So for example, a lot of the water things actually come under sustainable.
[5179.36s -> 5185.36s]  So there's a whole industry around it and it involves identifying things.
[5185.36s -> 5189.36s]  And also there's a certification process involved on that.
[5189.36s -> 5194.36s]  So I could probably speak to you for a day on this topic because it is.
[5194.36s -> 5201.36s]  If you see the documents, they, you know, it must be like a hundred pages long and we've got all that really to go.
[5201.36s -> 5205.36s]  So it is all happening, but it will be, it's not going to be compulsory.
[5205.36s -> 5210.36s]  It will be up to each council is to how they use that.
[5210.36s -> 5220.36s]  And investing is a big thing globally, particularly in Europe, probably less so in the US.
[5220.36s -> 5227.36s]  But certainly it does give you better access to debt markets if you can.
[5227.36s -> 5230.36s]  Well, I'm thrilled to hear that you're working on it.
[5230.36s -> 5236.36s]  I actually think you should report on it so that you're actually preparing or, you know, working on a proposal.
[5236.36s -> 5241.36s]  I think a lot of people would be looking for that and just say, well, congratulations.
[5241.36s -> 5247.36s]  I think it's great that you've made here some, I suppose, some groundwork progress.
[5247.36s -> 5251.36s]  And yeah, look forward to seeing when you can actually make an announcement.
[5251.36s -> 5256.36s]  Yeah, we did, we have a council day each year, sort of in July.
[5256.36s -> 5259.36s]  And we did flag that it was something we intend to do.
[5259.36s -> 5262.36s]  So we would, you know, give the update again this year.
[5262.36s -> 5265.36s]  But it is something that's definitely happening.
[5265.36s -> 5274.36s]  And we're more than happy to come and speak to you if you want to have, you know, more in-depth discussion about that side of the business.
[5274.36s -> 5276.36s]  Thank you.
[5276.36s -> 5278.36s]  Thanks.
[5278.36s -> 5282.36s]  Any other questions for Andrew?
[5282.36s -> 5288.36s]  No, okay, that being the case, thank you very much for assuming with us.
[5288.36s -> 5289.36s]  Yeah.
[5289.36s -> 5290.36s]  Always good.
[5290.36s -> 5292.36s]  I might see you in place one of these days.
[5292.36s -> 5293.36s]  Yeah, no, please.
[5293.36s -> 5295.36s]  Okay. Thanks very much.
[5295.36s -> 5296.36s]  Yes.
[5296.36s -> 5297.36s]  Okay.
[5297.36s -> 5298.36s]  Well, thanks for that.
[5298.36s -> 5299.36s]  Everybody.
[5299.36s -> 5303.36s]  We have a recommendation that runs from A to G.
[5303.36s -> 5306.36s]  I'm not even going to attempt to read them all out.
[5306.36s -> 5308.36s]  I'm sure you can.
[5308.36s -> 5309.36s]  Yeah.
[5309.36s -> 5310.36s]  Sorry, Andrew.
[5310.36s -> 5316.36s]  Probably the thing we just need to turn our attention to, because obviously a key part of that.
[5316.36s -> 5326.36s]  And that series of recommendations is the three leaders that are in the appendices of appendix, appendix four, five and six.
[5326.36s -> 5331.36s]  So I do just wonder with her just before you before you put the recommendation.
[5331.36s -> 5337.36s]  We for it is just with just seeking any any input into those, those three leaders.
[5337.36s -> 5345.36s]  Because obviously when we, when you actually do put the recommendation, you will be essentially locking in those leaders.
[5345.36s -> 5346.36s]  Yeah.
[5346.36s -> 5347.36s]  Thanks for that.
[5347.36s -> 5348.36s]  Ken, you're, you're very right.
[5348.36s -> 5349.36s]  I did think of that.
[5349.36s -> 5354.36s]  I read through them and I, I felt they've seemed pretty appropriate.
[5354.36s -> 5355.36s]  As they are.
[5355.36s -> 5360.36s]  Because, particularly with.
[5360.36s -> 5363.36s]  Oh, cast my mind back now, particularly with the airport.
[5363.36s -> 5367.36s]  We acknowledge that there was going to be a major revision in there.
[5367.36s -> 5368.36s]  So I.
[5368.36s -> 5370.36s]  But yeah, is there anyone.
[5370.36s -> 5372.36s]  Does anyone have any.
[5372.36s -> 5374.36s]  Any thoughts on a note?
[5374.36s -> 5375.36s]  All good.
[5375.36s -> 5376.36s]  Thanks for that.
[5376.36s -> 5378.36s]  Ken, but I think we're all good.
[5378.36s -> 5383.36s]  So could I have a mover, please.
[5383.36s -> 5384.36s]  Thank you, Bruce.
[5384.36s -> 5386.36s]  And the seconder.
[5386.36s -> 5387.36s]  Thanks, Lou.
[5387.36s -> 5388.36s]  Cheers.
[5388.36s -> 5390.36s]  All in favor.
[5390.36s -> 5392.36s]  All right.
[5392.36s -> 5393.36s]  Country.
[5393.36s -> 5395.36s]  No, it's carried.
[5395.36s -> 5396.36s]  Okay.
[5396.36s -> 5400.36s]  Moving on to item number nine.
[5400.36s -> 5402.36s]  And I see Nardis there.
[5402.36s -> 5405.36s]  Ken, did you want to introduce or.
[5405.36s -> 5406.36s]  No luck I'm.
[5406.36s -> 5411.36s]  I'm very happy to leave this to, to Nardis, to take us through the financial report.
[5411.36s -> 5416.36s]  Um, yeah, I, I, I guess the only thing I'm off significance and, again,
[5416.36s -> 5417.36s]  there is a health warning there.
[5417.36s -> 5419.36s]  A little bit like I come like the form up.
[5419.36s -> 5422.36s]  The report that you saw at the last council meeting.
[5422.36s -> 5426.36s]  Obviously anything in that, um, in that forecast column.
[5426.36s -> 5429.36s]  Is, um, yeah, is, is obviously outdated by the, um,
[5429.36s -> 5435.92s]  by the COVID events so yeah so yeah a huge effort has gone on right across some cross counts
[5435.92s -> 5441.20s]  on the last in the last two or three weeks to yeah to re-forecast and you should see
[5441.20s -> 5445.52s]  the results of that re-forecast and you should have a obviously quite a different
[5446.24s -> 5451.36s]  forecast column in the NICS funding to report you see but yeah but look let's see down
[5451.36s -> 5459.12s]  a happy phone now to take us through the report. Thanks very much. Thanks Ken. Good afternoon
[5459.12s -> 5466.64s]  everyone. So at the currently standing at the end of March the total income is currently
[5466.64s -> 5475.76s]  at 74% of the forecast and the operating expenditure is at 72% of the four-year forecast.
[5476.48s -> 5486.88s]  We have vested assets of 11.8 million recognised to date and that's currently 94% of the
[5486.88s -> 5497.04s]  four-cast. Discovered assets is 402,000. Development and reserve contributions
[5499.04s -> 5507.28s]  of 4.4 million have been received to date and subsidies and grants are at 47% of the
[5507.28s -> 5517.76s]  forecast. We have capital expenditure to date of 71.3 million which is 51% of the forecast
[5519.76s -> 5527.60s]  and there have been no major budget changes this month due to re-forecasting happening now.
[5529.28s -> 5535.92s]  There was one arbitrage arrangement made on the 12th of March that utilised six million
[5535.92s -> 5543.84s]  dollars of short-term fixed borrowings and it was on March terms mature and in June and we'll
[5543.84s -> 5557.20s]  yield approximately 13,000 of net interest. The rates we have the 62.1 million that's been set for
[5557.20s -> 5570.40s]  the year. Prior years outstanding at this time was 62,000 and we have currently 464,000 outstanding
[5570.40s -> 5579.68s]  at the year to date. And then I'll take the rest of the report as being read and if anyone's
[5579.68s -> 5589.44s]  got any questions. Okay, any questions? Not a big change really to the
[5590.08s -> 5595.44s]  what we have presented at the Clientel meeting so yeah, we're pretty much. Thanks for that
[5595.44s -> 5601.28s]  Nada, that's great and there being no questions I will ask for a move for the recommendation.
[5601.68s -> 5612.72s]  Thank you Roger and a seconder. Thanks Client. Thanks Client. I'll catch you next time for it. All in favour.
[5615.44s -> 5624.48s]  High country no, it's carried. Thank you very much and thanks Nada and I'll move on to item 10.
[5624.88s -> 5627.68s]  Health and safety.
[5631.68s -> 5636.64s]  Yeah, look I think I'm actually a stiff, yes, stiff is still there. So yeah, this is absolutely
[5636.64s -> 5642.08s]  young, stiff shores baby and in fact beavers beavers well who has joined us. So yeah, we had no
[5642.08s -> 5649.60s]  to stiffen beavers. Great, welcome, stiffen beavers. Hi guys. Another good new story. We need some of them.
[5654.72s -> 5673.76s]  Step to want to start off. Oh, yeah, yeah, all yours. All mine. Okay, so I take it that you guys have
[5673.76s -> 5685.92s]  have read the report and the attachments to this. I do see that there are a couple of questions from
[5685.92s -> 5692.32s]  clear. But is there anything else that you guys would like to ask before I get to those questions
[5692.32s -> 5701.84s]  from clear? It looks like the floor is yours clear. Yeah, a couple of questions.
[5703.68s -> 5710.16s]  Yeah, well, I mean, the first one was that there were four, the council entranceways with the
[5710.16s -> 5716.72s]  the location of a number of accidents. So, if you looked into those entranceways, is there
[5716.72s -> 5728.24s]  something to do with the entranceways? Like, yeah, beavers. Yeah, there were just the two trips
[5728.24s -> 5736.40s]  in entranceways. And we did get property to have a look. And there wasn't anything of significance
[5736.40s -> 5750.24s]  that we found. Can you guys hear me now? Yeah, so we didn't find anything of significance
[5751.20s -> 5756.08s]  of why they tripped. The only thing we, it was sort of at the lip where the doors
[5758.64s -> 5763.12s]  kind of closed. And this is at Cambridge. So I did property did have a look at those.
[5764.08s -> 5769.76s]  But we couldn't find anything that would have caused those trips. And we haven't had any
[5769.76s -> 5775.28s]  reported since. So it may mean just one of those things. But we are continuing to monitor anyway.
[5776.08s -> 5785.60s]  Yeah, yeah. I mean, it would just be our luck that, you know, our facilities are causing a
[5785.68s -> 5790.40s]  problem for people that are coming into this. Yeah, yeah. So I just thought it'd be good to know
[5790.40s -> 5799.36s]  a bit more about that. Yeah. Okay. Can you hear me? Yes, yes. Wonderful. I'm so sorry, I lost my
[5799.36s -> 5805.52s]  my voice there for a minute. So I clear, I understood you had another question as well. And
[5805.52s -> 5811.52s]  that was regarding what ways we have to keep track of how, how to say, do resources and processes
[5811.52s -> 5818.72s]  have been utilized? Yeah. That's a really good question. Perhaps if I, if you go to the A3 or the
[5818.72s -> 5826.80s]  big report on a page, above the Health and Safety Due diligence plan monitoring, above that is
[5826.80s -> 5833.44s]  the Health and Safety lead indicators. Now these lead indicators are basically the resources
[5834.00s -> 5841.36s]  and the contractors that we use. And so essentially what we pay for. And that's how we monitor
[5841.76s -> 5846.96s]  and provide to you the details in what we're spending our Health and Safety budget on.
[5846.96s -> 5852.80s]  We do have a very small Health and Safety budget obviously. But what does Health and Safety
[5852.80s -> 5859.68s]  lead indicators show to you is that we, we pay an ongoing fee to the Waikato Occupational
[5859.68s -> 5867.04s]  Health Consultancy who deliver our Health Monitoring Services. We also provide money to the EAP
[5867.28s -> 5875.52s]  service which is, so provides, I guess, counselling services to all of our staff. We also have
[5875.52s -> 5881.92s]  training, Health and Safety training. So we have set aside 27,000 for Health and Safety training
[5881.92s -> 5889.36s]  in the manual year. And that's that obviously is first aid refreshes and a Health and Safety
[5889.36s -> 5895.92s]  Committee training as well as any investigation training which we are looking at at the moment.
[5895.92s -> 5900.80s]  And our regular conflict training which obviously comes out of that budget as well.
[5901.44s -> 5906.88s]  And these are all reported through these reporting mechanisms to yourselves and also to the
[5906.88s -> 5912.80s]  executive team. So I guess that's one of our due diligence and how we show that we are
[5912.80s -> 5916.80s]  utilising external resources and finances appropriately.
[5918.16s -> 5924.48s]  Oh no, that's a great explanation and I can see how it all fits together. I guess I was
[5924.48s -> 5932.08s]  wondering about how you knew if just individual staff members were actually, you know, knowledgeable
[5932.08s -> 5937.44s]  about Health and Safety Practices or if they were starting a new task or something that they
[5938.48s -> 5944.08s]  did actually get the right briefing and the stuff like that. Like, are you confident that that
[5944.08s -> 5950.32s]  kind of sort of more grassroots of those processes are working well as well?
[5951.28s -> 5956.72s]  I think we feel free to jump in here but I'm actually very confident because we have some
[5957.92s -> 5965.36s]  very good well-educated Health and Safety representatives now and I must say they are
[5966.24s -> 5972.32s]  committed, they attend the meetings, they go back to their respective teams and they disseminate
[5972.40s -> 5979.52s]  that information. You know, we're making sure that any training is out there, I've got Bev and
[5980.64s -> 5987.44s]  Terry now working with all staff and specially team leaders and supervisors about how to keep
[5987.44s -> 5996.88s]  this task safe. I know that's great, thank you. Yes, thank you. Can you hear me all right?
[5996.96s -> 6003.20s]  I can. No, it doesn't seem to be coming through my headphones. I think this is a great report
[6004.48s -> 6014.08s]  but the question I have is, is there any way that we can assess some of the external influences
[6014.08s -> 6023.12s]  on our team's health and safety from COVID-19? Yes, absolutely. In the game, Bev, feel free to
[6023.12s -> 6030.64s]  jump in here. This report only covers the period from November through to February, so critically
[6030.64s -> 6037.04s]  it misses, essentially misses all the COVID-19 that will come in the next report. But yes,
[6037.04s -> 6045.04s]  absolutely, we have a staff monitor or staff register which we monitor the health and well-being
[6045.12s -> 6056.40s]  of all our staff, any that have immunocompromised health issues. We are aware of where our staff are,
[6056.40s -> 6064.24s]  what they're doing and with our slightly moving to level three, next week we've gone out to all
[6064.24s -> 6069.84s]  managers to advise us of where exactly their staff are going to be working, whether they will
[6069.92s -> 6076.32s]  be continuing to work from home, whether we will have some like our parks operators working
[6076.32s -> 6082.00s]  back out in the community and from a health and safety perspective, we're working up some really
[6082.00s -> 6089.36s]  good protocols around how to keep them all safe. So I hope that answered your question to Council
[6089.36s -> 6095.84s]  Gordon? Yeah, I was more wondering about whether any of the external influences over which we've
[6096.00s -> 6100.64s]  got no control, you know, that they're actually finding in their own family circumstances and
[6100.64s -> 6107.84s]  something like that that's actually affecting their mental state, which obviously is a health and
[6107.84s -> 6116.48s]  stiff issue. I can come in here if you like, Steve. I've just come out of a webinar with EMA
[6117.52s -> 6123.44s]  in which one of New Zealand's leading people on health and safety poor Javi was part of, so that
[6123.44s -> 6132.00s]  actually ruled out quite a few ways on how this can be managed in multiple levels, and I know
[6132.00s -> 6138.16s]  that our Y-PAR team have been working along those same lines. So you know, this is all pretty
[6138.16s -> 6145.12s]  new to everybody, so we're still writing up those protocols and hopefully getting everything in
[6145.12s -> 6152.64s]  place prior to actually going out next week on level three. Oh good, great to see those, thanks.
[6153.84s -> 6164.00s]  Great, everybody else. No, I'd just like to say it's great to see your health and safety
[6164.00s -> 6173.76s]  program maturing each report that we get, and I just wanted to say, I think your one page
[6173.76s -> 6181.84s]  carries health and safety commitment. That's a really, really good thing to put in place.
[6182.64s -> 6188.08s]  There's nothing like everybody in the organisation seeing that the CEO is committed
[6188.08s -> 6191.76s]  to the program, so congratulations on that.
[6194.96s -> 6202.08s]  Cheers, well done. Okay, so I have a recommendation to accept the report. Do I have a move, please?
[6203.36s -> 6209.68s]  Thank you, Claire. Thank you, Ellen. All those in favour, please say aye.
[6210.56s -> 6211.36s]  Aye. Aye.
[6211.36s -> 6215.76s]  Country no, that's carried. Thanks, ladies. That's terrific.
[6216.32s -> 6221.60s]  Welcome Phil, we're just going to pass a motion to move into public, excluded,
[6222.40s -> 6229.76s]  and then go off live. Oh, thanks, Roger. In a seconder, thanks, Susan. All in favour, aye.
[6231.84s -> 6235.92s]  Country no, that's carried. So Sam, will you do your thing?
